,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,Time,,number,10431
41.075,155.74,-5.34671,1003.53,152.68,-60.1781,861.479,135.918,76.5291,398.892,121.369,-125.322,32.3124,92.4666,-174.241,-5.2526,163.319,-21.851,-24.7768,121.064,70.7601,-22.6967,0.5917,-22.6967,,
41.0833,155.622,-4.79084,994.213,152.117,-60.0997,853.727,137.248,83.4045,395.027,120.97,-124.698,32.0076,92.1976,-174.04,-4.96143,162.806,-22.1466,-25.1818,121.03,70.9953,-22.9124,0.6,-22.9124,,
41.0917,155.397,-4.34959,984.567,151.591,-59.8673,845.924,138.472,90.3041,391.293,120.22,-123.812,31.7112,91.8727,-173.817,-4.67431,162.864,-22.1161,-25.0878,121.116,71.4429,-22.8795,0.6084,-22.8795,,
41.1,155.2,-3.29256,974.763,151.491,-59.1253,838.169,139.326,97.1529,387.511,119.868,-123.108,31.7457,91.5462,-173.602,-4.29088,162.833,-21.9577,-25.0445,121.075,71.8607,-23.133,0.6167,-23.133,,
41.1083,154.681,-2.96921,964.562,151.123,-58.7552,830.373,139.969,104.347,383.201,119.422,-122.362,31.5803,91.2426,-173.383,-3.90154,162.842,-21.9965,-25.1102,121.052,72.3511,-23.304,0.625,-23.304,,
41.1167,154.141,-1.75619,954.435,151.473,-57.833,822.543,139.876,111.142,378.842,119.123,-121.69,31.5688,90.877,-173.087,-3.44515,162.795,-21.524,-25.0009,121.141,72.6979,-23.5401,0.6334,-23.5401,,
41.125,153.649,-0.728786,944.34,151.495,-57.4096,814.566,139.863,118.202,374.208,118.542,-121.104,31.4136,90.3854,-172.874,-3.11643,162.681,-21.7412,-24.6749,121.333,73.1029,-23.5928,0.6417,-23.5928,,
41.1333,153.039,0.551999,934.52,152.586,-56.0033,806.651,139.454,124.777,369.639,117.888,-120.558,31.3542,89.816,-172.646,-2.6378,162.53,-21.5866,-24.8471,121.236,73.2952,-23.8745,0.65,-23.8745,,
41.1417,152.339,2.36005,925.348,154.058,-54.5016,798.896,138.997,130.622,364.967,117.185,-120.109,31.3807,89.2065,-172.399,-2.23958,162.35,-21.6978,-24.6954,121.456,73.5789,-23.8606,0.6584,-23.8606,,
41.15,151.867,4.18991,917.08,155.221,-52.759,791.525,138.863,137.1,360.629,116.588,-119.282,31.3477,88.6475,-172.165,-1.77139,162.034,-21.6283,-24.5063,121.537,73.9324,-24.1728,0.6667,-24.1728,,
41.1583,151.156,6.43784,909.886,156.534,-50.8012,784.893,138.547,143.046,356.243,116.116,-118.626,31.3058,88.0399,-171.943,-1.41174,161.631,-21.3937,-24.5399,121.793,74.2009,-24.1513,0.675,-24.1513,,
41.1667,150.741,8.91489,904.054,157.662,-48.3161,778.895,138.265,148.256,352.07,115.69,-118.188,31.3331,87.4266,-171.765,-1.0913,161.547,-21.7021,-24.349,121.889,74.3759,-24.4677,0.6834,-24.4677,,
41.175,149.707,10.6601,899.657,158.208,-45.2765,774.017,138.417,153.17,348.059,115.012,-117.679,31.1046,86.6619,-171.578,-0.68748,161.342,-21.7693,-24.2667,121.995,74.6441,-24.5983,0.6917,-24.5983,,
41.1833,149.107,13.0382,897.079,159.355,-41.8886,770.408,138.712,157.098,344.662,114.741,-117.344,31.2229,85.966,-171.355,-0.138283,161.429,-21.9004,-24.2877,122.396,74.7345,-24.7737,0.7,-24.7737,,
41.1917,148.384,15.687,896.275,159.757,-37.6621,768.765,139.714,160.49,341.625,114.346,-116.788,31.1973,85.2331,-171.227,0.322342,161.451,-22.0379,-24.2818,122.723,74.7899,-24.6176,0.7084,-24.6176,,
41.2,147.833,19.3866,897.15,159.929,-33.0273,769.295,141.094,163.196,339.38,114.124,-116.724,31.5132,84.7854,-171.041,0.865579,161.493,-22.1112,-24.4712,122.886,74.8674,-24.861,0.7167,-24.861,,
41.2083,147.733,24.405,899.828,160.026,-27.9335,771.774,142.727,164.755,338.174,114.232,-116.58,31.986,84.4472,-170.93,1.38086,161.652,-22.2647,-24.5817,123.136,74.9628,-24.7488,0.725,-24.7488,,
41.2167,147.791,30.1948,904.651,160.277,-22.3631,775.797,145.251,165.318,337.41,114.414,-116.465,32.1506,84.2533,-170.816,1.98567,162.241,-21.9122,-24.6662,123.241,74.8713,-24.9364,0.7334,-24.9364,,
41.225,147.862,36.3886,911.581,160.536,-16.5924,781.276,148.055,165.251,337.849,114.877,-116.478,32.6207,84.2854,-170.778,2.56175,162.07,-22.3109,-25.0651,123.311,74.8508,-24.9268,0.7417,-24.9268,,
41.2333,147.93,43.0061,920.423,161.563,-10.1108,788.126,149.689,163.348,339.745,115.368,-116.356,33.1207,84.4543,-170.596,3.29453,162.391,-22.3856,-25.3193,123.42,74.7001,-25.0199,0.75,-25.0199,,
41.2417,147.883,49.7789,931.297,161.625,-3.46357,796.921,150.868,160.308,342.884,115.679,-116.312,33.6071,84.7486,-170.481,3.86542,162.748,-22.3568,-25.5446,123.458,74.5707,-24.9839,0.7584,-24.9839,,
41.25,147.852,56.4935,943.738,161.892,3.85505,807.082,152.607,156.156,347.186,116.373,-116.362,34.3202,85.1172,-170.263,4.66156,163.223,-22.518,-25.8133,123.477,74.4446,-24.92,0.7667,-24.92,,
41.2583,147.382,63.6147,957.869,162.216,12.8055,819.136,154.598,151.057,352.331,117.05,-116.405,35.1499,85.5845,-170.037,5.55783,163.752,-22.1215,-25.7839,123.611,74.3895,-24.7194,0.775,-24.7194,,
41.2667,147.451,70.4286,973.957,162.312,21.5274,832.864,156.675,144.856,358.724,117.699,-116.404,36.2676,86.1023,-169.718,7.08544,164.079,-22.2135,-25.9771,123.598,74.3767,-24.9028,0.7834,-24.9028,,
41.275,148.124,77.902,991.373,162.96,31.6514,847.386,158.087,137.26,366.688,118.874,-116.412,38.2643,86.6953,-169.139,9.60809,164.554,-21.9123,-26.3079,123.488,74.1413,-24.6723,0.7917,-24.6723,,
41.2833,148.517,85.6403,1010.41,162.825,41.8599,863.6,158.598,128.366,375.827,119.966,-116.098,41.1211,87.6401,-168.078,14.0205,164.876,-21.7779,-26.6623,123.305,73.889,-24.753,0.8,-24.753,,
41.2917,149.503,93.1529,1030.58,162.932,52.42,880.911,159.098,119.639,387.27,122.017,-114.996,46.0019,89.0824,-166.31,20.4434,165.252,-21.6063,-26.7357,123.355,73.4923,-24.4114,0.8084,-24.4114,,
41.3,150.109,100.819,1051.23,163.296,63.4378,899.463,160.089,112.019,400.648,125.114,-113.385,53.1709,91.2148,-163.569,29.4093,165.545,-21.1359,-27.1173,123.123,73.1124,-24.3208,0.8167,-24.3208,,
41.3083,150.671,107.814,1072.75,163.299,74.5721,919.227,160.736,105.629,416.676,128.956,-110.652,62.4987,93.6984,-159.277,40.9497,165.895,-21.2464,-26.7072,123.107,72.2505,-23.9197,0.825,-23.9197,,
41.3167,151.78,115.22,1095.29,164.485,85.5043,939.528,161.472,101.974,435.636,133.37,-106.256,74.9435,96.4358,-153.363,55.0808,166.546,-20.7779,-25.9578,123.109,71.0014,-23.5012,0.8334,-23.5012,,
41.325,152.735,122.036,1118.66,162.836,95.8231,961.838,161.839,101.112,456.219,138.238,-99.8971,90.2528,99.6694,-145.846,71.2138,166.17,-21.924,-25.4275,123.889,68.1772,-22.8934,0.8417,-22.8934,,
41.3333,153.149,127.509,1142.18,162.223,105.391,984.269,162.126,100.964,477.124,143.521,-91.4612,105.726,103.405,-136.299,88.0265,168.005,-22.7818,-25.6833,123.951,67.6667,-23.3599,0.85,-23.3599,,
41.3417,154.186,132.538,1165.28,161.405,114.637,1005.82,161.875,101.073,497.757,148.883,-80.4977,120.487,107.748,-125.672,104.871,169.39,-19.4677,-21.1434,125.506,71.2603,-25.0394,0.8584,-25.0394,,
41.35,155.518,137.502,1187.95,160.491,123.327,1027.23,161.838,101.456,517.866,153.374,-67.92,135.705,112.542,-114.896,122.174,170.973,-12.3872,-8.96233,0,0,0,0.8667,0,,
41.3583,156.069,141.158,1209.47,158.904,130.92,1048.42,160.272,103.389,538.003,155.787,-56.2178,152.056,115.647,-105.946,138.98,175.173,-3.65788,10.5337,138.653,76.9682,-20.1575,0.875,-20.1575,,
41.3667,157.081,144.693,1230.5,157.831,137.659,1069.31,159.21,108.923,556.816,155.533,-50.3318,169.791,115.715,-100.264,154.708,181.511,2.54035,29.9485,141.133,86.2221,2.48277,0.8834,2.48277,,
41.375,157.793,148.913,1249.72,156.225,142.213,1089.54,157.205,120.25,572.78,154.274,-47.8474,187.639,114.752,-95.6418,171.049,186.253,9.79447,51.0781,145.393,97.4874,27.3822,0.8917,27.3822,,
41.3833,158.219,152.78,1267.44,154.431,144.62,1108.28,154.33,135.075,587.029,152.923,-43.6681,206.029,113.376,-90.6542,189.149,187.492,18.0467,77.6019,148.873,102.502,46.437,0.9,46.437,,
41.3917,158.338,156.569,1283.54,152.977,146.137,1125.15,151.237,150.986,600.147,150.738,-37.5278,224.958,111.457,-85.4284,208.029,191.873,27.0529,104.654,0,0,0,0.9084,0,,
41.4,158.354,160.458,1297.78,151.951,147.112,1140.31,148.099,167.108,612.998,148.035,-30.8397,243.839,109.673,-80.0775,226.793,192.948,33.4321,127.33,144.256,106.464,80.3364,0.9167,80.3364,,
41.4083,158.264,163.762,1310.54,151.241,147.434,1154.05,144.714,183.183,626.523,145.459,-23.7137,262.542,107.887,-73.6703,244.922,189.661,41.7976,147.885,140.723,113.794,100.27,0.925,100.27,,
41.4167,157.475,166.504,1321.51,149.854,147.335,1167.11,141.385,198.298,640.984,143.169,-15.5559,280.808,106.147,-66.25,262.08,182.26,50.0326,167.73,135.623,123.561,120.374,0.9334,120.374,,
41.425,156.658,169.335,1331.22,148.682,145.961,1178.94,138.718,212.311,655.743,140.415,-6.62506,297.792,104.292,-57.4232,277.679,175.112,58.7459,185.65,129.727,135.252,140.121,0.9417,140.121,,
41.4333,156.044,172.46,1339.91,148.48,146.726,1189.89,137.13,224.812,671.252,138.495,5.24139,313.586,102.486,-46.9393,291.481,169.329,67.5284,199.782,127.242,151.566,161.377,0.95,161.377,,
41.4417,155.477,175.55,1347.77,148.716,147.628,1198.89,136.229,235.65,686.694,135.644,18.9313,327.337,100.834,-34.757,303.106,165.014,77.9276,211.854,126.454,170.859,182.301,0.9584,182.301,,
41.45,154.769,178.094,1354.97,148.152,145.413,1207.71,135.195,244.402,702.195,134.323,33.9633,338.704,99.5568,-20.7492,312.265,162.643,96.0961,225.376,126.901,192.199,203.272,0.9667,203.272,,
41.4583,154.195,180.018,1361.57,147.095,143.317,1216,134.156,251.896,716.954,133.493,50.1057,348.57,99.2043,-4.9234,318.849,164.591,120.981,242.883,127.404,215.732,223.998,0.975,223.998,,
41.4667,153.769,181.461,1367.79,148.406,142.787,1223.14,132.613,258.51,731.33,133.366,67.126,356.142,99.9741,12.9297,323.661,165.473,146.247,257.969,128.97,240.799,244.154,0.9834,244.154,,
41.475,153.64,182.894,1373.74,149.954,142.102,1230.14,130.883,264.361,744.749,134.025,86.0979,362.268,100.837,32.4882,326.839,166.316,172.223,272.059,130.785,266.854,263.995,0.9917,263.995,,
41.4833,153.522,184.069,1379.46,150.348,140.455,1236.92,128.683,268.909,757.508,135.403,105.638,367.454,103.158,54.1113,328.554,169.336,199.915,286.706,132.272,294.034,283.829,1,283.829,,
41.4917,153.726,185.682,1384.86,151.435,139.076,1243.68,125.628,272.512,769.419,137.568,126.482,371.618,105.795,77.2445,329.697,171.956,227.965,300.872,133.181,320.766,303.788,1.0084,303.788,,
41.5,153.784,187.618,1389.77,152.877,138.136,1250.74,123.34,275.777,779.996,139.206,149.226,375.535,108.486,100.76,330.628,174.053,256.198,314.172,134.092,347.16,322.392,1.0167,322.392,,
41.5083,153.473,190.091,1393.94,153.98,137.711,1258,120.995,278.803,789.574,141.383,172.133,379.393,111.53,125.25,331.899,175.935,283.879,326.507,133.921,372.087,339.352,1.025,339.352,,
41.5167,152.999,193.211,1397.49,155.05,138.165,1265.12,118.327,281.795,797.667,142.55,195.434,382.936,113.988,147.964,334.325,176.867,311.199,337.207,132.609,395.053,353.965,1.0334,353.965,,
41.525,152.513,196.544,1400.44,155.776,139.131,1272.08,116.685,285.325,804.551,143.313,217.387,386.511,115.64,169.636,337.057,179.759,339.042,348.339,129.586,415.415,366.537,1.0417,366.537,,
41.5333,152.236,199.925,1403.03,156.134,140.35,1278.07,116.135,289.811,810.687,143.46,237.206,390.257,117.07,189.869,340.126,178.7726096,342.6517236,346.539485,125.171,433.405,376.476,1.05,376.476,,
41.5417,152.399,203.613,1405.72,156.839,142.917,1283.4,116.679,294.942,816.11,143.003,254.27,393.964,117.433,207.191,343.354,177.774335,346.3049379,344.7182891,120.856,449.184,383.188,1.0584,383.188,,
41.55,152.844,206.326,1408.06,157.04,146.038,1287.08,118.021,300.439,820.636,142.087,268.52,397.097,116.287,222.828,346.071,176.7879446,349.9146615,342.9187741,116.136,463.079,387.321,1.0667,387.321,,
41.5583,153.482,209.232,1410.13,156.719,148.642,1290.2,119.956,305.806,824.314,140.829,280.301,399.425,114.848,235.762,348.372,175.8015542,353.5243851,341.1192591,113.047,474.831,389.153,1.075,389.153,,
41.5667,154.247,212.874,1411.92,156.525,152.337,1292,121.93,310.739,826.834,139.013,289.998,400.887,112.59,246.827,350.494,174.8032796,357.1775994,339.2980632,111.17,485.325,388.324,1.0834,388.324,,
41.575,155.002,216.651,1412.82,156,156.57,1293.09,124.078,315.951,828.241,138.262,298.328,401.889,110.388,255.931,352.321,173.8168892,360.787323,337.4985482,110.298,494.174,384.694,1.0917,384.694,,
41.5833,155.786,220.81,1413.2,155.337,161.32,1293.32,125.56,320.668,828.328,137.254,305.193,401.924,108.378,263.617,353.211,172.8304988,364.3970466,335.6990332,110.055,501.847,379.21,1.1,379.21,,
41.5917,156.578,224.986,1412.86,154.218,166.207,1293.02,127.207,326.42,827.077,136.027,311.497,400.804,106.487,270.379,353.298,171.8322241,368.0502609,333.8778373,109.941,508.774,371.717,1.1084,371.717,,
41.6,157.169,228.875,1411.84,152.218,171.464,1292.44,128.766,332.46,824.809,135.119,317.119,398.914,104.882,276.033,352.991,170.8458337,371.6599845,332.0783223,109.715,515.276,362.342,1.1167,362.342,,
41.6083,157.871,233.075,1410.42,152.168,176.922,1289.96,130.171,338.659,821.504,134.577,322.253,396.095,103.62,281.265,351.711,169.8594433,375.2697081,330.2788073,109.779,520.479,352.046,1.125,352.046,,
41.6167,158.352,237.243,1408.3,151.752,182.389,1287.4,131.168,344.633,817.101,133.926,327.533,392.211,102.303,286.13,349.847,168.8611687,378.9229223,328.4576114,110,524.981,341.43,1.1334,341.43,,
41.625,158.388,241.018,1405.58,150.652,188.054,1283.53,132.358,350.131,812.098,133.322,332.745,387.414,101.308,290.827,346.889,167.8747783,382.532646,326.6580964,109.833,528.217,331.746,1.1417,331.746,,
41.6333,158.649,245.285,1402.14,0,0,0,133.334,355.516,806.443,132.751,337.248,382.102,100.048,295.462,343.188,166.8883879,386.1423696,324.8585814,109.152,531.768,322.662,1.15,322.662,,
41.6417,158.593,249.475,1397.59,148.926,196.971,1274.6,134.882,361.285,799.706,131.592,341.535,375.844,98.5933,299.72,338.477,165.8901133,389.7955838,323.0373855,108.406,535.166,314.03,1.1584,314.03,,
41.65,158.242,253.806,1392.11,149.406,203.036,1268.17,136.834,367.159,792.295,130.7,345.295,368.856,96.8317,304.189,332.588,164.9037229,393.4053074,321.2378705,108.027,538.75,304.817,1.1667,304.817,,
41.6583,157.871,258.042,1385.68,150.082,209.274,1260.8,138.108,373.04,783.644,129.097,349.639,360.369,94.4977,308.108,325.256,163.9173325,397.0150311,319.4383555,108.035,542.527,295.514,1.175,295.514,,
41.6667,158.055,263.117,1378.6,150.569,215.201,1252.35,139.8,378.824,774.249,126.187,351.917,351.215,92.0235,310.093,314.763,162.9190579,400.6682453,317.6171595,106.416,549.127,288.194,1.1834,288.194,,
41.675,157.885,268.539,1370.76,151.253,221.213,1242.64,141.434,384.533,763.981,122.231,349.256,342.118,88.3441,310.056,303.905,161.9326675,404.2779689,315.8176445,109.04,554.114,288.731,1.1917,288.731,,
41.6833,157.459,274.234,1362.17,151.777,226.838,1231.87,141.986,390.534,753.308,118.635,343.994,333.215,84.6566,306.965,294.872,160.9462771,407.8876926,314.0181295,113.392,552.202,293.372,1.2,293.372,,
